path,sha256,size_bytes,kind,status,antenna,port,point_count,declared_frequency_unit,raw_frequency_min,raw_frequency_max,source_sha256_at_17f0a758,provenance_note,validation_flags
Results/Corrupt_Artifacts/ANT1481H_P2.jpg.nul,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,47411,corrupt_smith_chart_bytes,quarantined_corrupt,ANT1481H,P2,,,,,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,Moved from Results/Smith_Charts/ANT1481H_P2.jpg and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/Corrupt_Artifacts/ANT1481H_P2.s1p.nul,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,8167,corrupt_touchstone_bytes,quarantined_corrupt,ANT1481H,P2,,,,,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,Moved from Results/Touchstone_Files/ANT1481H_P2.s1p and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/S11_Plots/S11_ANT1357H_P1.png,ee1743f5b55b6b9a7460e70353777bc4e992a5898b38dc234d6854a1cefcee31,29386,s11_plot_png,reference_plot_valid,ANT1357H,P1,,,,,ee1743f5b55b6b9a7460e70353777bc4e992a5898b38dc234d6854a1cefcee31,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1357H_P2.png,f04049baceff7fe69bdee1c09040ccfe7215266425a8b0f7834b24fab540ca01,28689,s11_plot_png,reference_plot_valid,ANT1357H,P2,,,,,f04049baceff7fe69bdee1c09040ccfe7215266425a8b0f7834b24fab540ca01,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1358H_P1.png,0d5306412795d24500104002823e8114e1719c62cd695537383c7bbc3c5742c4,30181,s11_plot_png,reference_plot_valid,ANT1358H,P1,,,,,0d5306412795d24500104002823e8114e1719c62cd695537383c7bbc3c5742c4,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1358H_P2.png,4d3f9bdf04bafef9ab348bbd573d715f20710f50d53f2c270ccfedc26fccb126,29177,s11_plot_png,reference_plot_valid,ANT1358H,P2,,,,,4d3f9bdf04bafef9ab348bbd573d715f20710f50d53f2c270ccfedc26fccb126,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1359H_P1.png,1d86dcdbf1a23e8f7bfb229ae923128b17544489d027a22fb85883b9195eb452,29652,s11_plot_png,reference_plot_valid,ANT1359H,P1,,,,,1d86dcdbf1a23e8f7bfb229ae923128b17544489d027a22fb85883b9195eb452,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1359H_P2.png,d0d2001a58f5b5279a800d3a2ab523e9090f33dd61182d77bcf3ca2e7662b3cb,28872,s11_plot_png,reference_plot_valid,ANT1359H,P2,,,,,d0d2001a58f5b5279a800d3a2ab523e9090f33dd61182d77bcf3ca2e7662b3cb,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1360H_P1.png,9a24d5eff63af49e89bf4eb9ce1bde5e00326376c507acdc1800eb367a9b1c31,29747,s11_plot_png,reference_plot_valid,ANT1360H,P1,,,,,9a24d5eff63af49e89bf4eb9ce1bde5e00326376c507acdc1800eb367a9b1c31,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1360H_P2.png,b4987c98e8d5bd6c864f941f439a68d787b824bf2d98d2c4c2157996dbb69b50,28616,s11_plot_png,reference_plot_valid,ANT1360H,P2,,,,,b4987c98e8d5bd6c864f941f439a68d787b824bf2d98d2c4c2157996dbb69b50,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1361H_P1.png,30c2b0e8f86d6cfdcfe6d82c560d0ae20f204ac5130d79bb790c42d9e3e090c7,29941,s11_plot_png,reference_plot_valid,ANT1361H,P1,,,,,30c2b0e8f86d6cfdcfe6d82c560d0ae20f204ac5130d79bb790c42d9e3e090c7,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1361H_P2.png,2f9f6f5c12da352410ec4fddbd25c78caee6dd574eee05d4b712099fa8941d2c,28875,s11_plot_png,reference_plot_valid,ANT1361H,P2,,,,,2f9f6f5c12da352410ec4fddbd25c78caee6dd574eee05d4b712099fa8941d2c,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
